Date,Goldrate
2025-01-01,7219.42
2025-01-08,7354.60
2025-01-15,7492.43
2025-01-22,7660.36
2025-01-29,7689.02
2025-02-05,8055.77
2025-02-12,8115.76
2025-02-19,8197.42
2025-02-26,8178.75
2025-03-05,8145.31
2025-03-12,8227.37
2025-03-19,8461.65
2025-03-26,8323.11
2025-04-02,8663.33
2025-04-09,8536.86
2025-04-16,9199.20
2025-04-23,9100.43
2025-04-30,8909.99
2025-05-07,9177.32
2025-05-14,8741.21
2025-05-21,9135.98
2025-05-28,9020.06
2025-06-04,9330.88
2025-06-11,9244.18
2025-06-18,9401.74
2025-06-25,9212.92
2025-07-02,9268.75
2025-07-09,9149.22
2025-07-16,9196.82
2025-07-23,9411.31
2025-07-30,9236.71
2025-08-06,9511.73
2025-08-13,9438.97
2025-08-20,9372.83
2025-08-27,9572.63
2025-09-03,10091.00
2025-09-10,10305.00
2025-09-17,10356.00
2025-09-24,10689.00
2025-10-01,11006.00
2025-10-08,11490.00
2025-10-15,11890.00
2025-10-22,11575.00
2025-10-29,11184.00
2025-11-05,11306.00
2025-11-12,11952.00
2025-11-19,11630.00
2025-11-26,11938.00
2025-12-03,12197.00
2025-12-10,12199.00
2025-12-17,12610.00
2025-12-24,12937.00
2025-12-31,12513.00
2026-01-07,12892.00
2026-01-14,13374.00
2026-01-21,14112.00
2026-01-28,16042.00
2026-02-04,14586.00
2026-02-11,14789.00
2026-02-18,14544.00
2026-02-25,15121.00
2026-03-04,15264.00
2026-03-11,15323.00
2026-03-18,14450.00
2026-03-25,13633.00
2026-04-01,14235.00
2026-04-08,13982.00
2026-04-15,14413.00
2026-04-22,14276.00
2026-04-29,13884.00
2026-05-06,14272.00
2026-05-13,14450.00
2026-05-20,13878.00
2026-05-27,13788.00
